# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
0.0	0.0078	0.5	-0.13610041094571257	-0.01417181001238944	0	0	-24.105604927093726	-24.105215833968735
0.0	0.0156	0.5	-1.3069432281449582	-0.013144935629998494	0	0	-24.105654904183492	-24.10523730204123
0.0	0.0233	0.5	-3.3843357769067137	-0.012363273260225228	0	0	-24.105709370176314	-24.10525868158383
0.0	0.0311	0.5	-5.858057764921221	-0.011808095584588691	0	0	-24.105767015585023	-24.105280532303134
0.0	0.0389	0.5	-8.478161859716145	-0.01114077738568215	0	0	-24.105818202038442	-24.105302582368324
0.0	0.0467	0.5	-11.330211884303566	-0.009982318425969618	0	0	-24.105854008127476	-24.105324836539236
0.0	0.0544	0.5	-14.352248196763927	-0.00853572398893739	0	0	-24.105878971953832	-24.10534701041304
0.0	0.0622	0.5	-17.354772366375062	-0.007215807621455999	0	0	-24.10590506005484	-24.105369684989007
0.0	0.07	0.5	-20.0784489757605	-0.006221399547685889	0	0	-24.10593664546223	-24.10539257894052
0.0	0.0778	0.5	-22.483881873149517	-0.005495979402838233	0	0	-24.10597269016868	-24.105415697759543
0.0	0.0855	0.5	-24.618549854163806	-0.004919535476881506	0	0	-24.106009923566113	-24.105438746309414
0.0	0.0933	0.5	-26.654045240496554	-0.004346171246021227	0	0	-24.10604638914539	-24.105462329103652
0.0	0.1011	0.5	-28.68520549291527	-0.0036661908762270837	0	0	-24.10607896828509	-24.105486154438786
0.0	0.1089	0.5	-30.81722467677962	-0.0027940158468415903	0	0	-24.106105769768128	-24.105510228691116
0.0	0.1166	0.5	-33.0813885579164	-0.0017123282435898592	0	0	-24.106125929792917	-24.10553424492106
0.0	0.1244	0.5	-35.53588741384675	-0.0004227410559787606	0	0	-24.106140815999076	-24.10555883374122
