# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
1.0	0.133358794958	0.03999910618503396	-1.209905754667285	-0.1101805700615538	0	0	-38.54762536777942	-38.54267681103439
1.0	0.177501594981	0.057598712906448905	-1.9582796832185934	-0.12856405026299256	0	0	-38.547882111182375	-38.54199517359607
1.0	0.237827666941	0.08294214658528642	-3.166267341252202	-0.1379248101935809	0	0	-38.548193717009184	-38.54165780420867
1.0	0.343965598623	0.12959710403951005	-5.4749354502920475	-0.14199299502790078	0	0	-38.54865154299342	-38.541519287397406
1.0	0.565524317243	0.23039485162579562	-10.213865033964321	-0.13990574178043397	0	0	-38.54937042179942	-38.54160445659005
1.0	1.197527232559	0.5183884161580402	-21.326740876671096	-0.12486330617529007	0	0	-38.5506535637147	-38.54218494921495
1.0	1.860258676831	0.8099819002469377	-30.192877255227923	-0.10762773363501499	0	0	-38.551500727838146	-38.54286490228215
1.0	3.380645834202	1.4399678226612227	-45.085530540981075	-0.06671188549374577	0	0	-38.55272724185444	-38.54448383139839
1.0	4.805194376762	1.9938016006022043	-55.500122235540395	-0.026418048510008146	0	0	-38.553451575944855	-38.546043987921465
1.0	5.246438366219	2.1599517339621674	-58.302209069668045	-0.013576194671880648	0	0	-38.553627918568885	-38.54653450217289
1.0	5.775386259196	2.3563109825600868	-61.45506977110003	0.0020052194127311573	0	0	-38.55381793085302	-38.54712679563879
2.0	0.20733483076	0.03999910618503396	-2.841722741595864	-0.1170514972255611	0	0	-38.547999159935316	-38.54241033727747
2.0	0.285284484697	0.057598712906448905	-4.4924440703961475	-0.1285705807667587	0	0	-38.54836859551841	-38.54198731551575
2.0	0.395186050406	0.08294214658528642	-6.908960325201495	-0.1335492912370192	0	0	-38.548803514118354	-38.54181085792744
2.0	0.594618011468	0.12959710403951005	-11.10832809110806	-0.1336586244083483	0	0	-38.54942489669194	-38.54182104385228
2.0	1.023650961222	0.23039485162579562	-18.886866265949305	-0.12564781865975144	0	0	-38.5503551036085	-38.54214061965951
2.0	2.27233985538	0.5183884161580402	-35.23775405013752	-0.09318487402616493	0	0	-38.551855882079394	-38.54338601675501
2.0	3.578531739469	0.8099819002469377	-47.29757443878582	-0.05674542014970921	0	0	-38.55275679118544	-38.54478245258406
2.0	6.518741334703	1.4399678226612227	-66.09037540253885	0.02809468632110773	0	0	-38.55400509244359	-38.54806896169322
2.0	9.204432149795	1.9938016006022043	-78.15177672651956	0.10869688006705225	0	0	-38.5547539747371	-38.55120620545392
2.0	10.024416279584	2.1599517339621674	-81.24686237171665	0.13391910255097245	0	0	-38.55494074848905	-38.552186776495695
2.0	11.000660780384	2.3563109825600868	-84.65632819006626	0.16430802324750937	0	0	-38.55514395916664	-38.55336683708447
3.0	0.283220767804	0.03999910618503396	-4.737303628356593	-0.11825355756305206	0	0	-38.548337978862854	-38.54236336464079
3.0	0.395777614118	0.057598712906448905	-7.205737234650183	-0.12634722174903532	0	0	-38.54879207821956	-38.54207522102859
3.0	0.55620049744	0.08294214658528642	-10.607074203716598	-0.12878428548530801	0	0	-38.5493097135428	-38.54199872166964
3.0	0.85006482513	0.12959710403951005	-16.20685842514395	-0.12571656303534892	0	0	-38.55002152562109	-38.54213127839488
3.0	1.486957130774	0.23039485162579562	-26.050727580140187	-0.11164512073980747	0	0	-38.551043405087405	-38.542681376037905
3.0	3.343783501206	0.5183884161580402	-45.61589255776958	-0.06158001682739106	0	0	-38.55262828783256	-38.54460507953447
3.0	5.275860027661	0.8099819002469377	-59.39034013856642	-0.006264905207803234	0	0	-38.55355955111015	-38.54673665280392
3.0	9.579644860314	1.4399678226612227	-79.96780590758314	0.12321668484769153	0	0	-38.554822375784504	-38.5517508846841
3.0	13.462979147013	1.9938016006022043	87.44269382904285	0.2464365169182728	0	0	-38.555557870558715	-38.55652318997572
3.0	14.640569657589	2.1599517339621674	84.31821572620913	0.2847607281037865	0	0	-38.55573905751347	-38.55800567562363
3.0	16.03797293533	2.3563109825600868	80.93976142727594	0.33066845412136425	0	0	-38.55593554423025	-38.55978036567155
